,Male,Female
Homicide and related offences,1138,186
Acts intended to cause injury,136382,47940
Sexual assault and related offences,17784,1356
Dangerous/negligent acts,3216,804
Abduction/harassment,5968,1414
Robbery/extortion,6418,1542
Unlawful entry with intent,17742,4388
Theft,41268,28466
Fare evasion,31570,11394
Fraud/deception,11348,5900
Illicit drug offences,71630,24700
Weapons/explosives,25252,4352
Property damage and environmental pollution,20960,6188
Public order offences,48270,16110
Offences against justice,49198,12954
Miscellaneous offences,17084,2586
