Offences,Male_cap,Female_cap,Male_north,Female_north,Male_nsw,Female_nsw,Male_queens,Female_queens,Male_south,Female_south,Male_tas,Female_tas,Male_vic,Female_vic,Male_west,Female_west
Homicide and related offences,11,0,16,0,226,36,103,24,15,3,13,0,110,13,75,17
Acts intended to cause injury,669,247,"2,072",630,"28,226","10,207","10,207","4,214","4,517","1,358","1,564",631,"13,641","3,930","7,295","2,753"
Sexual assault and related offences,130,3,65,0,"2,691",179,"2,493",269,394,22,125,6,"1,649",115,"1,345",84
Dangerous/negligent acts,5,4,42,10,66,18,665,215,26,12,4,0,675,100,125,43
Abduction/harassment,43,4,52,9,854,221,52,9,105,17,11,0,807,194,"1,060",253
Robbery/extortion,33,6,130,48,639,108,925,277,144,45,95,31,616,90,627,166
Unlawful entry with intent,80,14,251,59,"1,674",337,"3,053",773,738,172,136,28,"1,274",338,"1,665",473
Theft,145,60,201,74,"5,220","3,193","6,563","4,740",951,588,539,420,"4,217","2,812","2,798","2,346"
Fare evasion,0,0,0,0,"14,551","5,426",170,52,143,39,0,0,921,180,0,0
Fraud/deception,35,17,17,17,"1,932",886,"1,037",649,79,37,140,93,"1,519",668,915,583
Illicit drug offences,217,38,592,278,"8,760","2,213","10,124","4,127","5,911","1,927",612,227,"5,625","1,852","3,974","1,688"
Weapons/explosives,111,22,291,47,"3,461",527,"1,602",334,"1,084",177,374,81,"4,320",716,"1,383",272
Property damage and environmental pollution,88,27,129,67,"2,821",881,"2,998",785,485,162,357,104,"2,351",654,"1,251",414
Public order offences,193,63,"1,448",997,"7,372","2,173","7,268","2,236","2,690","1,059",527,205,"2,746",584,"1,891",738
Offences against justice,200,44,813,247,"4,491","1,293","9,585","2,350",971,236,544,147,"4,623","1,119","3,372","1,041"
Miscellaneous offences,28,3,64,19,"4,377",468,126,73,483,112,520,64,"2,644",433,300,121
