id,parent,value
Australia,,0
New South Wales,Australia,0
Homicide and related offences (New South Wales),New South Wales,267
Acts intended to cause injury (New South Wales),New South Wales,38453
Sexual assault and related offences (New South Wales),New South Wales,2872
Dangerous/negligent acts (New South Wales),New South Wales,86
Abduction/harassment (New South Wales),New South Wales,1079
Robbery/extortion (New South Wales),New South Wales,749
Unlawful entry with intent (New South Wales),New South Wales,2016
Theft (New South Wales),New South Wales,8422
Fare evasion (New South Wales),New South Wales,20096
Fraud/deception (New South Wales),New South Wales,2823
Illicit drug offences (New South Wales),New South Wales,10985
Weapons/explosives (New South Wales),New South Wales,3991
Property damage and environmental pollution (New South Wales),New South Wales,3706
Public order offences (New South Wales),New South Wales,9584
Offences against justice (New South Wales),New South Wales,5800
Miscellaneous offences (New South Wales),New South Wales,4861
Victoria,Australia,0
Homicide and related offences (Victoria),Victoria,127
Acts intended to cause injury (Victoria),Victoria,17576
Sexual assault and related offences (Victoria),Victoria,1762
Dangerous/negligent acts (Victoria),Victoria,772
Abduction/harassment (Victoria),Victoria,1002
Robbery/extortion (Victoria),Victoria,707
Unlawful entry with intent (Victoria),Victoria,1609
Theft (Victoria),Victoria,7034
Fare evasion (Victoria),Victoria,1098
Fraud/deception (Victoria),Victoria,2194
Illicit drug offences (Victoria),Victoria,7472
Weapons/explosives (Victoria),Victoria,5033
Property damage and environmental pollution (Victoria),Victoria,3000
Public order offences (Victoria),Victoria,3331
Offences against justice (Victoria),Victoria,5740
Miscellaneous offences (Victoria),Victoria,3078
Queensland,Australia,0
Homicide and related offences (Queensland),Queensland,127
Acts intended to cause injury (Queensland),Queensland,14436
Sexual assault and related offences (Queensland),Queensland,2762
Dangerous/negligent acts (Queensland),Queensland,878
Abduction/harassment (Queensland),Queensland,63
Robbery/extortion (Queensland),Queensland,1200
Unlawful entry with intent (Queensland),Queensland,3830
Theft (Queensland),Queensland,11307
Fare evasion (Queensland),Queensland,227
Fraud/deception (Queensland),Queensland,1689
Illicit drug offences (Queensland),Queensland,14269
Weapons/explosives (Queensland),Queensland,1933
Property damage and environmental pollution (Queensland),Queensland,3786
Public order offences (Queensland),Queensland,9526
Offences against justice (Queensland),Queensland,11938
Miscellaneous offences (Queensland),Queensland,199
South Australia,Australia,0
Homicide and related offences (South Australia),South Australia,20
Acts intended to cause injury (South Australia),South Australia,5877
Sexual assault and related offences (South Australia),South Australia,418
Dangerous/negligent acts (South Australia),South Australia,35
Abduction/harassment (South Australia),South Australia,125
Robbery/extortion (South Australia),South Australia,185
Unlawful entry with intent (South Australia),South Australia,911
Theft (South Australia),South Australia,1543
Fare evasion (South Australia),South Australia,185
Fraud/deception (South Australia),South Australia,117
Illicit drug offences (South Australia),South Australia,7842
Weapons/explosives (South Australia),South Australia,1260
Property damage and environmental pollution (South Australia),South Australia,646
Public order offences (South Australia),South Australia,3772
Offences against justice (South Australia),South Australia,1209
Miscellaneous offences (South Australia),South Australia,604
Western Australia,Australia,0
Homicide and related offences (Western Australia),Western Australia,97
Acts intended to cause injury (Western Australia),Western Australia,10098
Sexual assault and related offences (Western Australia),Western Australia,1437
Dangerous/negligent acts (Western Australia),Western Australia,168
Abduction/harassment (Western Australia),Western Australia,1319
Robbery/extortion (Western Australia),Western Australia,789
Unlawful entry with intent (Western Australia),Western Australia,2162
Theft (Western Australia),Western Australia,5172
Fare evasion (Western Australia),Western Australia,0
Fraud/deception (Western Australia),Western Australia,1513
Illicit drug offences (Western Australia),Western Australia,5677
Weapons/explosives (Western Australia),Western Australia,1666
Property damage and environmental pollution (Western Australia),Western Australia,1678
Public order offences (Western Australia),Western Australia,2641
Offences against justice (Western Australia),Western Australia,4423
Miscellaneous offences (Western Australia),Western Australia,418
Tasmania,Australia,0
Homicide and related offences (Tasmania),Tasmania,9
Acts intended to cause injury (Tasmania),Tasmania,2197
Sexual assault and related offences (Tasmania),Tasmania,135
Dangerous/negligent acts (Tasmania),Tasmania,4
Abduction/harassment (Tasmania),Tasmania,18
Robbery/extortion (Tasmania),Tasmania,125
Unlawful entry with intent (Tasmania),Tasmania,167
Theft (Tasmania),Tasmania,963
Fare evasion (Tasmania),Tasmania,0
Fraud/deception (Tasmania),Tasmania,239
Illicit drug offences (Tasmania),Tasmania,838
Weapons/explosives (Tasmania),Tasmania,454
Property damage and environmental pollution (Tasmania),Tasmania,464
Public order offences (Tasmania),Tasmania,742
Offences against justice (Tasmania),Tasmania,699
Miscellaneous offences (Tasmania),Tasmania,587
Northern Territory,Australia,0
Homicide and related offences (Northern Territory),Northern Territory,18
Acts intended to cause injury (Northern Territory),Northern Territory,2709
Sexual assault and related offences (Northern Territory),Northern Territory,66
Dangerous/negligent acts (Northern Territory),Northern Territory,48
Abduction/harassment (Northern Territory),Northern Territory,62
Robbery/extortion (Northern Territory),Northern Territory,175
Unlawful entry with intent (Northern Territory),Northern Territory,315
Theft (Northern Territory),Northern Territory,269
Fare evasion (Northern Territory),Northern Territory,0
Fraud/deception (Northern Territory),Northern Territory,41
Illicit drug offences (Northern Territory),Northern Territory,869
Weapons/explosives (Northern Territory),Northern Territory,342
Property damage and environmental pollution (Northern Territory),Northern Territory,196
Public order offences (Northern Territory),Northern Territory,2454
Offences against justice (Northern Territory),Northern Territory,1056
Miscellaneous offences (Northern Territory),Northern Territory,87
Australian Capital Territory,Australia,0
Homicide and related offences (Australian Capital Territory),Australian Capital Territory,11
Acts intended to cause injury (Australian Capital Territory),Australian Capital Territory,919
Sexual assault and related offences (Australian Capital Territory),Australian Capital Territory,135
Dangerous/negligent acts (Australian Capital Territory),Australian Capital Territory,11
Abduction/harassment (Australian Capital Territory),Australian Capital Territory,43
Robbery/extortion (Australian Capital Territory),Australian Capital Territory,39
Unlawful entry with intent (Australian Capital Territory),Australian Capital Territory,92
Theft (Australian Capital Territory),Australian Capital Territory,212
Fare evasion (Australian Capital Territory),Australian Capital Territory,0
Fraud/deception (Australian Capital Territory),Australian Capital Territory,51
Illicit drug offences (Australian Capital Territory),Australian Capital Territory,255
Weapons/explosives (Australian Capital Territory),Australian Capital Territory,129
Property damage and environmental pollution (Australian Capital Territory),Australian Capital Territory,111
Public order offences (Australian Capital Territory),Australian Capital Territory,254
Offences against justice (Australian Capital Territory),Australian Capital Territory,241
Miscellaneous offences (Australian Capital Territory),Australian Capital Territory,32
