country,crimeRateByCountry_crimeIndex,CrimeRateSafetyIndex,Population (2024),Country Numeric
India,44.4,55.6,1450935791,356
China,60.8,39.2,1408975000,156
United States,49.2,50.8,340110988,840
Indonesia,45.9,54.1,283487931,360
Pakistan,42.8,57.2,251269164,586
Nigeria,65.8,34.2,232679478,566
Brazil,66.1,33.9,211998573,76
Bangladesh,62.5,37.5,173562364,50
Russia,39.7,60.3,143533851,643
Ethiopia,51.4,48.6,132059767,231
Mexico,54.1,45.9,130861007,484
Japan,22.9,77.1,123975371,392
Egypt,47,53,116538258,818
Philippines,42.6,57.4,115843670,608
Vietnam,44.1,55.9,100987686,704
Iran,49.8,50.2,91567738,364
Germany,38,62,83510950,276
United Kingdom,46.9,53.1,69226000,826
Tanzania,38.3,61.7,68560157,834
France,54.6,45.4,68516699,250
South Africa,75.5,24.5,64007187,710
Italy,47.3,52.7,58986023,380
Kenya,56.8,43.2,56432944,404
Myanmar,50,50,54500091,104
South Korea,25.3,74.7,51751065,410
Sudan,45.5,54.5,50448963,729
Uganda,55.9,44.1,50015092,800
Spain,35.8,64.2,48807137,724
Algeria,51.4,48.6,46814308,12
Iraq,46,54,46042015,368
Argentina,64,36,45696159,32
Afghanistan,78.4,21.6,42647492,4
Poland,29.2,70.8,36554707,616
Morocco,47.1,52.9,38081173,504
Angola,65.8,34.2,37885849,24
Ukraine,46.8,53.2,37860221,804
Uzbekistan,31.3,68.7,36361859,860
Malaysia,51.6,48.4,35557673,458
Mozambique,63.7,36.3,34631766,508
Ghana,44.1,55.9,34427414,288
Peru,67.5,32.5,34217848,604
Saudi Arabia,24.3,75.7,35300280,682
Ivory Coast,57.5,42.5,31934230,384
Nepal,37.5,62.5,29651054,524
Venezuela,82.1,17.9,28405543,862
Australia,46.7,53.3,27204809,36
North Korea,50.7,49.3,26498823,408
Syria,69.1,30.9,24672760,760
Burkina Faso,53,47,23548781,854
Sri Lanka,42.2,57.8,21916000,144
Zambia,47.9,52.1,21314956,894
Kazakhstan,46.4,53.6,20592571,398
Chad,58.7,41.3,20299123,148
Chile,25.8,74.2,19764771,152
Romania,32.8,67.2,19069340,642
Somalia,66.7,33.3,19009151,706
Guatemala,60.1,39.9,18406359,320
Netherlands,26.2,73.8,17994237,528
Ecuador,60.7,39.3,18135478,218
Cambodia,44.8,55.2,17638801,116
Zimbabwe,60.6,39.4,16634373,716
Rwanda,27.3,72.7,14256567,646
Burundi,64.2,35.8,14047786,108
Bolivia,62,38,12413315,68
Tunisia,44.7,55.3,12277109,788
Haiti,78.3,21.7,11772557,332
Belgium,48.9,51.1,11876844,56
Jordan,40.7,59.3,11552876,400
United Arab Emirates,14.6,85.4,10876981,784
Cuba,32.2,67.8,10979783,192
Honduras,74.3,25.7,10825703,340
Czech Republic,26.8,73.2,10882164,203
Sweden,48.1,51.9,10569709,752
Tajikistan,54.4,45.6,10590927,762
Papua New Guinea,80.4,19.6,10576502,598
Portugal,30.7,69.3,10701636,620
Azerbaijan,31.7,68.3,10202850,31
Greece,46.5,53.5,10388805,300
Hungary,33.8,66.2,9562314,348
Israel,32.2,67.8,9974400,376
Austria,27.6,72.4,9178482,40
Belarus,51.4,48.6,9133712,112
Switzerland,24.9,75.1,9034102,756
Hong Kong,21.7,78.3,7524100,344
Libya,60.4,39.6,7381023,434
Kyrgyzstan,53.9,46.1,7224614,417
Paraguay,50.6,49.4,6929153,600
Nicaragua,50.2,49.8,6916140,558
Bulgaria,37.5,62.5,6444366,100
Serbia,38.5,61.5,6587202,688
El Salvador,62.1,37.9,6338193,222
Denmark,26.6,73.4,5976992,208
Singapore,23.1,76.9,6036860,702
Lebanon,46.5,53.5,5805962,422
Finland,26.5,73.5,5637214,246
Norway,32.5,67.5,5572272,578
Slovakia,31.3,68.7,5422069,703
Palestine,41.2,58.8,5289152,275
Oman,19.6,80.4,5281538,512
Ireland,46.1,53.9,5380257,372
New Zealand,47.1,52.9,5338500,554
Costa Rica,53.7,46.3,5129910,188
Kuwait,32.6,67.4,4973861,414
Panama,44.1,55.9,4515577,591
Croatia,26.1,73.9,3866300,191
Mongolia,53.5,46.5,3524788,496
Uruguay,51.9,48.1,3386588,858
Puerto Rico,61.7,38.3,3203295,630
Bosnia and Herzegovina,42.5,57.5,3164253,70
Qatar,14.3,85.7,2857822,634
Namibia,64.6,35.4,3030131,516
Armenia,21.6,78.4,3033500,51
Lithuania,33.2,66.8,2888055,440
Jamaica,67.5,32.5,2839175,388
Albania,45.4,54.6,2714617,8
Botswana,52.6,47.4,2521139,72
Slovenia,24.2,75.8,2126324,705
Latvia,37.3,62.7,1862441,428
North Macedonia,40.7,59.3,1792179,807
Bahrain,24.2,75.8,1588670,48
Trinidad and Tobago,70.8,29.2,1368333,780
Estonia,24.5,75.5,1371986,233
Cyprus,32.6,67.4,1358282,196
Mauritius,48.1,51.9,1259509,480
Djibouti,61.1,38.9,1168722,262
Fiji,56.7,43.3,928784,242
Guyana,68.8,31.2,831087,328
Luxembourg,34,66,677717,442
Montenegro,36.9,63.1,623831,499
Malta,40,60,574346,470
Maldives,55.2,44.8,527799,462
Brunei,29.2,70.8,462721,96
Belize,52.3,47.7,417072,84
Bahamas,60.3,39.7,401283,44
Iceland,25,75,404610,352
Barbados,46.6,53.4,282467,52
United States Virgin Islands,61.2,38.8,104377,850
Monaco,24.7,75.3,38631,492
